Benchmark,Algorithms,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,Mean,Std
,RL-MOPSO,1.702387427,1.596594517,1.889229654,1.749503332,1.67511777,1.806529889,1.850137811,1.738922308,1.678364063,1.734772405,1.704119197,1.758540501,1.632876352,1.716346253,1.54134263,1.692382332,1.681229577,1.673785455,1.719006282,1.70277702,1.719867686,1.70317798,1.713759214,1.633035852,1.658653975,1.756994785,1.655436375,1.663786345,1.685413046,1.656096328,1.703006212,0.068661164
WFG2,MOPSO-Gbest,0.330112431,0.438431266,0.407211909,0.266483574,0.320127682,0.369247014,0.515037062,0.36371261,0.394293498,0.447454897,0.30075812,0.35591651,0.382474804,0.385717574,0.300670697,0.406582446,0.328290851,0.360508491,0.388858731,0.348303362,0.32119145,0.296432643,0.319044667,0.296218831,0.272972377,0.350476602,0.403270849,0.324953787,0.32422019,0.364963135,0.356131269,0.055036118
,MOPSO-DPRT,0.187559965,0.197994144,0.146494293,0.184108281,0.169895586,0.179093775,0.149148323,0.174756289,0.207044906,0.188520105,0.212617556,0.154509578,0.195608659,0.152862658,0.172582296,0.14055854,0.205466916,0.212093555,0.194905272,0.174688758,0.184995851,0.165533229,0.187154543,0.152783593,0.1805305,0.198252949,0.19034724,0.185574701,0.190249882,0.205622318,0.181385142,0.020207373
,MOPSO-Von-Neumann,0.147696644,0.142621849,0.145572847,0.134694195,0.1553434,0.157952069,0.159883401,0.167257744,0.149750713,0.135436803,0.144678419,0.124534517,0.138871115,0.153420644,0.146423137,0.150165591,0.13925616,0.161591382,0.153524166,0.15194909,0.132108864,0.149963956,0.150189958,0.141254293,0.154840233,0.145494032,0.148479126,0.144199206,0.149223916,0.127605178,0.146799422,0.009782781
,MOPSO-IVT,0.14875909,0.14261632,0.157914581,0.168932982,0.184340256,0.149797709,0.167899798,0.142397753,0.188387644,0.166651109,0.165716128,0.160646295,0.155538149,0.156615604,0.15111118,0.181012011,0.13757929,0.168952657,0.166478284,0.140769349,0.15688552,0.167113339,0.161321991,0.158401108,0.152916545,0.173648027,0.16798527,0.15546106,0.16657956,0.163207871,0.160854549,0.012357122
,RT-MOPSO,0.153254046,0.177495917,0.156233401,0.165654232,0.150490058,0.164228745,0.174930162,0.172727325,0.153390178,0.18223242,0.172848113,0.166370724,0.159407113,0.157055066,0.184437604,0.183842422,0.172114727,0.16302408,0.186728287,0.183141598,0.149565945,0.172088876,0.181400513,0.172368873,0.177527979,0.165637925,0.163299341,0.166120288,0.166128095,0.187171144,0.16936384,0.01116316
,RL-MOPSO,0.148165215,0.128504158,0.123210085,0.154290417,0.161676318,0.136008377,0.144302527,0.140453987,0.145881995,0.13245805,0.15203198,0.138053842,0.118978699,0.171469957,0.134706411,0.137581691,0.124934854,0.144403024,0.151847941,0.140130453,0.143981436,0.146761978,0.139397169,0.139788565,0.142633925,0.143072224,0.123947481,0.146962799,0.137962744,0.138127136,0.141057515,0.01120496
WFG3,MOPSO-Gbest,0.317551569,0.324647409,0.35765407,0.270973283,0.302194743,0.244790252,0.282869006,0.344122256,0.371847624,0.317864827,0.338109369,0.335821313,0.311369439,0.322663887,0.420468257,0.331583072,0.325771887,0.283651216,0.27393153,0.347066602,0.258280883,0.381330583,0.392516518,0.279893106,0.327264967,0.303726723,0.312339741,0.343937876,0.289480557,0.375581868,0.322976814,0.040985859
,MOPSO-DPRT,0.220424699,0.238258368,0.251104355,0.218851795,0.238986323,0.254999932,0.228767103,0.249782294,0.264993276,0.315301477,0.287262814,0.245247646,0.243069455,0.275046416,0.269486204,0.288665199,0.225756937,0.241686283,0.231667165,0.24017826,0.295831394,0.257219311,0.24058906,0.278594731,0.248504716,0.234548847,0.265962031,0.225644328,0.228243872,0.229017102,0.251123046,0.024314337
,MOPSO-Von-Neumann,0.187475689,0.193408339,0.203206454,0.199896878,0.208225155,0.196168344,0.185805443,0.210636534,0.214447884,0.204474755,0.205487523,0.253905095,0.20667756,0.158369918,0.238781236,0.175944646,0.220364413,0.19872076,0.203295126,0.184468697,0.211296163,0.2277809,0.215816778,0.230303488,0.209643468,0.210740457,0.24018406,0.204043086,0.209012165,0.208494193,0.20723584,0.019289874
