Benchmark,Algorithms,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,Mean,Std
,dMOPSO,0.321380904,0.380348156,0.334342159,0.445487245,0.518995845,0.364600422,0.339678486,0.366596387,0.31548956,0.351525416,0.324461976,0.563082271,0.538446399,0.3943538,0.326575726,0.36907661,0.336516842,0.3342966,0.353744924,0.323858091,0.493353423,0.311512092,0.353883391,0.363544389,0.356603289,0.371484461,0.451025893,0.447832441,0.300064575,0.355458957,0.380254024,0.07061354
,MOEADD,0.435935188,0.386058631,0.295023508,0.462858571,0.20435372,0.459046308,0.186899441,0.464672099,0.268223769,0.461036036,0.464656058,0.219224502,0.453914651,0.536126869,0.375904239,0.220833334,0.451823562,0.257517938,0.320770259,0.227899353,0.241670632,0.453403929,0.441713355,0.176721049,0.466017069,0.43421784,0.477958506,0.499508864,0.453514684,0.410969124,0.37361577,0.111709265
,RVEA,0.256666204,0.246969437,0.3011148,0.25112029,0.223924002,0.277853118,0.314983256,0.258373809,0.306563134,0.22560001,0.274807909,0.237207829,0.241828949,0.270489193,0.320697766,0.259773519,0.239046508,0.35710445,0.291690227,0.309282188,0.26800112,0.246577721,0.234370283,0.241199347,0.266380308,0.280407955,0.262596456,0.248439179,0.288097943,0.259467951,0.268687829,0.031343363
,PESAII,0.264137059,0.1796065,0.333725487,0.301535294,0.245218098,0.363247349,0.257908388,0.454669503,0.284588358,0.217421226,0.227005273,0.214475219,0.374419957,0.746834767,0.247289852,0.514768914,0.326487009,0.206365514,0.319841653,0.174337124,0.250022015,0.340415146,0.43881919,0.489365238,0.889388985,0.543089186,0.244697529,0.243821554,0.208919362,0.285542551,0.339598777,0.164262534
,RLT-MOPSO,0.208544023,0.223599922,0.202584579,0.208751602,0.204284612,0.204758861,0.20941327,0.199709437,0.200166514,0.198529444,0.174913191,0.236669119,0.207755149,0.225117168,0.195164905,0.210450303,0.19058822,0.214861649,0.201482432,0.225801832,0.235767025,0.200061541,0.21059642,0.146174287,0.190115147,0.188840913,0.192759982,0.209227617,0.225902333,0.215429557,0.205267368,0.017951368
WFG4,MOPSOCD,0.390111249,0.390648777,0.369791063,0.374578885,0.416832774,0.392048888,0.358840456,0.346886541,0.385054369,0.371892372,0.363566832,0.365148534,0.370501641,0.39655511,0.377933787,0.387496106,0.383418323,0.376634064,0.377903316,0.386705498,0.369731607,0.37730667,0.393136174,0.364091709,0.394733773,0.394921997,0.410542008,0.365443994,0.380495881,0.367144782,0.380003239,0.015270653
,SMPSO,0.320017511,0.321222692,0.333282683,0.329248051,0.348095176,0.297479805,0.316653298,0.351128594,0.311623605,0.315798368,0.32484846,0.32665032,0.311925409,0.335619386,0.338390165,0.320315968,0.338827267,0.30767368,0.315276107,0.329376584,0.30914904,0.32996294,0.319822789,0.329468762,0.314700758,0.319587577,0.359911612,0.344035201,0.311910299,0.325258772,0.325242029,0.014061561
,dMOPSO,0.378291628,0.357208227,0.366843925,0.393090338,0.392938924,0.375498333,0.397769266,0.391307911,0.397337074,0.419002965,0.41100261,0.375945127,0.475432979,0.38975059,0.426888647,0.397138248,0.348062779,0.376516078,0.377227071,0.37777122,0.409325782,0.393311441,0.397336362,0.413773894,0.359242838,0.391961927,0.404257204,0.400994433,0.388579982,0.36704053,0.391694944,0.024394078
,MOEADD,0.247811099,0.244985803,0.245314196,0.248785374,0.249886494,0.250894169,0.24520576,0.246048403,0.248466505,0.249232218,0.247201436,0.246963661,0.249108085,0.248099449,0.249057992,0.247721585,0.246486936,0.24494293,0.24902591,0.249931867,0.251462338,0.243887647,0.255918387,0.246246814,0.24654833,0.252312099,0.252174551,0.248625255,0.24600884,0.244512235,0.248095546,0.00270283
,RVEA,0.263991195,0.272722377,0.266272003,0.248421679,0.259896837,0.27099512,0.263935578,0.275552611,0.270689146,0.284126133,0.263111733,0.264853319,0.270019866,0.26497875,0.271807719,0.279108519,0.27533698,0.266673617,0.272401516,0.251206156,0.265390501,0.273461655,0.247183831,0.272993925,0.265639432,0.263193891,0.264181431,0.267661679,0.260998468,0.267298851,0.266803484,0.008151299
,PESAII,0.320563871,0.294023315,0.370229726,0.282162353,0.304024501,0.328442254,0.304877448,0.32487213,0.295551837,0.30424735,0.28936673,0.311786235,0.310001941,0.304452576,0.299908956,0.340926751,0.299872738,0.310812486,0.308391933,0.3203178,0.301062752,0.317014425,0.312965064,0.306404512,0.308765653,0.319857452,0.289002392,0.35031725,0.310827406,0.319892148,0.3120314,0.018246734
,RLT-MOPSO,0.222009723,0.232419053,0.241916424,0.225000959,0.233770912,0.232992244,0.231793897,0.235332541,0.22216268,0.211209533,0.231850535,0.222151136,0.228002659,0.221686402,0.238656132,0.249039211,0.232907192,0.230687281,0.231884074,0.222940691,0.221969427,0.219428741,0.239219539,0.233799316,0.235982193,0.226319847,0.223822944,0.22973918,0.236550816,0.25364604,0.230629711,0.00890034
WFG5,MOPSOCD,0.292652272,0.3172339,0.280641367,0.280949208,0.274636025,0.287347587,0.29600907,0.323338843,0.300513149,0.28945022,0.301988381,0.320810178,0.289261766,0.297195462,0.29253008,0.287444941,0.2791497,0.306923758,0.298109072,0.290009099,0.312522779,0.300058079,0.267132559,0.295860783,0.292078895,0.318544319,0.299504158,0.302612119,0.291676015,0.294932826,0.29603722,0.013410965
,SMPSO,0.360319811,0.319835902,0.317621509,0.268286953,0.306259854,0.3054591,0.286820876,0.28677978,0.366584484,0.316567416,0.312378422,0.313011714,0.321309095,0.293990316,0.321286127,0.306404578,0.300948231,0.290662266,0.340776503,0.380366408,0.383090493,0.334510864,0.357730034,0.307707042,0.29931714,0.325535805,0.330512705,0.330906587,0.293670218,0.29014161,0.318959728,0.028387166
,dMOPSO,0.38057358,0.353203994,0.346861706,0.373240663,0.393066026,0.362042643,0.401853235,0.353593508,0.385029031,0.330105523,0.357154597,0.398899254,0.369527058,0.421507101,0.41792389,0.355093624,0.40032041,0.341523145,0.388541229,0.379541911,0.401830675,0.373872144,0.40253916,0.368542586,0.379432065,0.364447596,0.397245343,0.347173739,0.394857917,0.344715492,0.376141962,0.023904631
,MOEADD,0.255813823,0.251080206,0.247153096,0.252076878,0.247449368,0.254245936,0.263954203,0.257433261,0.250391828,0.249722656,0.250785629,0.248854166,0.257433215,0.251550687,0.250595113,0.246713178,0.251894418,0.251970271,0.250292682,0.250619137,0.249544086,0.250446927,0.274966157,0.252055253,0.248294482,0.249229624,0.251935387,0.250853886,0.270011072,0.2546667,0.253067778,0.006369671
